              precision    recall  f1-score   support

     class 0       0.71      0.60      0.65        25
     class 1       0.78      0.91      0.84        75
     class 2       0.58      0.31      0.41        35
     class 3       0.39      0.60      0.47        15

    accuracy                           0.69       150
   macro avg       0.62      0.61      0.59       150
weighted avg       0.68      0.69      0.67       150
