              precision    recall  f1-score   support

     class 0       1.00      0.48      0.65        25
     class 1       0.87      0.99      0.93        75
     class 2       0.61      0.73      0.67        15

    accuracy                           0.84       115
   macro avg       0.83      0.73      0.75       115
weighted avg       0.86      0.84      0.83       115
