              precision    recall  f1-score   support

     class 0       0.95      0.72      0.82        25
     class 1       0.85      0.95      0.89        75
     class 2       0.75      0.60      0.67        15

    accuracy                           0.85       115
   macro avg       0.85      0.76      0.79       115
weighted avg       0.86      0.85      0.85       115
