              precision    recall  f1-score   support

     class 0       0.68      0.76      0.72        25
     class 1       0.90      0.96      0.93        75
     class 2       0.77      0.57      0.66        35
     class 3       0.81      0.87      0.84        15

    accuracy                           0.83       150
   macro avg       0.79      0.79      0.79       150
weighted avg       0.82      0.83      0.82       150
