              precision    recall  f1-score   support

     class 0       0.57      0.52      0.54        25
     class 1       0.74      0.80      0.77        75
     class 2       0.42      0.23      0.30        35
     class 3       0.37      0.67      0.48        15

    accuracy                           0.61       150
   macro avg       0.52      0.55      0.52       150
weighted avg       0.60      0.61      0.59       150
