              precision    recall  f1-score   support

     class 0       0.65      0.60      0.62        25
     class 1       0.71      0.83      0.77        75
     class 2       0.43      0.43      0.43        35
     class 3       1.00      0.33      0.50        15

    accuracy                           0.65       150
   macro avg       0.70      0.55      0.58       150
weighted avg       0.67      0.65      0.64       150
