              precision    recall  f1-score   support

     class 0       0.91      0.80      0.85        25
     class 1       0.95      0.96      0.95        75
     class 2       0.65      0.73      0.69        15

    accuracy                           0.90       115
   macro avg       0.83      0.83      0.83       115
weighted avg       0.90      0.90      0.90       115
