              precision    recall  f1-score   support

     class 0       0.93      0.56      0.70        25
     class 1       0.79      0.87      0.83        75
     class 2       0.57      0.49      0.52        35
     class 3       0.48      0.73      0.58        15

    accuracy                           0.71       150
   macro avg       0.69      0.66      0.66       150
weighted avg       0.73      0.71      0.71       150
