              precision    recall  f1-score   support

     class 0       0.94      0.64      0.76        25
     class 1       0.82      0.99      0.90        75
     class 2       0.88      0.47      0.61        15

    accuracy                           0.84       115
   macro avg       0.88      0.70      0.76       115
weighted avg       0.85      0.84      0.83       115
