              precision    recall  f1-score   support

     class 0       1.00      0.80      0.89        25
     class 1       0.87      1.00      0.93        75
     class 2       1.00      0.60      0.75        15

    accuracy                           0.90       115
   macro avg       0.96      0.80      0.86       115
weighted avg       0.92      0.90      0.90       115
